replicate_id,total_reads
SH4-311Cas9-RepA-p6_batch4,21214798
KNS60-311cas9_RepB_p6_batch3,34082406
LCSq1_c906R1,46708874
LU99-311cas9_RepA_p6_batch3,31228636
NCIH1666-311Cas9_RepA_p6_batch3,39999061
MELHO-311Cas9_RepA_p6_batch3,63716591
TE-8-311Cas9_RepA_p5_batch3,45105770
TE8_c908R1,34584124
CJM-311Cas9_RepA_p7_batch3,49519651
HCC-95-311Cas9_RepA_p6_batch2,33121970
LN428-311Cas9_RepA_p6_batch4,36755250
TUHR-10-TKB-311Cas9_RepA_p5_batch3,17956011
CAS1_c907R1,43988759
Cas1-311Cas9_RepA_p5_batch3,48949581
NCI-H460-311Cas9_RepA_p6_batch2,34874054
SNU-8-311Cas9 Rep A p5_batch3,52776592
SNU1196-311cas9_RepB_p6_batch3,25653797
HCC56-311Cas9_RepA_p4_batch2,32064441
PK-45H-311cas9 Rep A p6_batch3,52504791
SNU-216-311cas9_RepA_p4_batch3,49233797
SW1463-311cas9 Rep A p5_batch2,79206115
YH-13-311Cas9_RepA_p6_batch3,33794690
YH13_c907R1,38228911
HSC2-311cas9_RepA_p5_batch3,36903781
HUH1-311Cas9_RepA_p6_batch3,35125167
Li-7-311cas9_RepA_p6_batch3,53806838
RT112 -311Cas9_RepA_p6_batch2,24929075
HUH7-311Cas9_RepA_p6_batch2,51718111
JHH-4-311Cas9_RepA_p5_batch3,34442177
MALME-3M-311cas9_RepA_p6_batch3,51715286
SNU-387-311Cas9_RepA_p6_batch3,47354059
H2170_c906R1,44061744
NCI-H2170-311Cas9 Rep A p4_batch2,95302493
SNU-182-311Cas9_RepA_p4_batch3,49541581
VMRC-RCW-311Cas9_RepA_p4_batch3,33751001
F36P-311cas9_RepA_p6_batch3,22477319
GSU-311cas9_RepA_p5_batch3,37203398
KU-19-19-311Cas9_RepA_p6_batch3,52378328
TE11-311cas9_RepA_p6_batch3,26232349
NCI-H716-311cas9 Rep A p5_batch2,27342498
SF767-311Cas9_RepA_p6_batch3,74799068
SNU423-311Cas9_RepA_p6_batch3,71848071
TUHR4TKB-311Cas9_RepB_p5_batch3,33827415
EW8-311Cas9_RepA_p6_batch3,30171055
KO52-311Cas9_RepA_p6_batch3,37264784
NCI-H1792-311Cas9 Rep A p6_batch3,49420581
SNU46-311Cas9_RepA_p6_batch3,47317959
BICR16-311Cas9_RepA_p6_batch3,54238051
LS123_c903R1,48811892
TCC-PAN2-311Cas9 Rep A p6_batch3,56333006
RKN-311Cas9_RepA_p6_batch3,55661400
RKN_c905R4,32819283
SNB75-311Cas9_RepA_p6_batch3,26136761
SNB75_c907R1,53114940
H1299_c906R1,30660398
KE39-311Cas9_RepA_p6_batch3,62726960
NCI-H1299-311Cas9_RepA_p5_batch3,42838326
CAL-78-311CAS9_RepA_p5_batch3,22729334
Calu-1-311Cas9_RepA_p6_batch3,34622196
INA-6-311cas9_RepA_p5_batch3,23046552
NCIH1092-311Cas9_RepA_p4_batch3,54347827
59M-311Cas9_RepA_p4_batch3,44987949
CAL33_c907R1,29788374
Cal33-311Cas9_RepA_p6_batch3,54724331
SNU-410-311cas9 Rep A p5_batch3,45895994
KURAMO_c905R1,45259743
Kuramochi-311cas9 Rep A p3_batch3,56235144
NCI-H2030-311Cas9 Rep A p6_batch3,45187892
UM-UC-3-311Cas9_RepA_p5_batch3,50601220
ABC-1-311Cas9 Rep A p5_20150925_batch3,53075090
OVISE-311cas9 Rep A p6_batch2,47327726
OVISE_c905R2,38423648
BXPC3-311Cas9-RepA-p6_batch3,47500174
BxPC3_c904R1,22507026
NCIH2004RT-311cas9-RepA-p6_batch4,36496508
SNU61_c903R1,61152228
Hey-A8-311Cas9_RepA_p6_batch2,82062959
KMS34-311Cas9_RepA_p6_batch3,42414604
SNU761-311Cas9_RepB_p6_batch3,26868163
HSC4_c908R1,29092071
OE21-311Cas9_RepA_p6_batch3,42425823
OE21_C907R1,23903577
VM-CUB1-311Cas9_RepA_p6_batch3,51435202
BHY-311Cas9_RepA_p6_batch3,42581890
